FAWN	F AO N
NEXT(2)	N EH K S
FEW	F Y UW
DOUBT	D AW T
THEMSELVES	DH EH M S EH L V Z
THEMSELVES(2)	DH AH M S EH L V Z
HIDING	HH AY D IH NG
SUN'S	S AH N Z
DEFENDANT	D IH F EH N D AH N T
CHEEKS	CH IY K S
POSSESSION	P AH Z EH SH AH N
PENCIL	P EH N S AH L
BABE	B EY B
PRETTY	P R IH T IY
MISUSE	M IH S Y UW Z
MISUSE(2)	M IH S Y UW S
FAMOUSED	F EY M AH S T
SAVAGE	S AE V AH JH
SAVAGE(2)	S AE V IH JH
HEIR	EH R
NEED'ST	N IY D S T
INFECTION	IH N F EH K SH AH N
INSUFFICIENCY	IH N S AH F IH SH AH N S IY
TATTERED	T AE T ER D
GLADLY	G L AE D L IY
HARVEST	HH AA R V AH S T
ANNOY	AH N OY
NONE'	N AH N
ACCOUNT	AH K AW N T
SALVING	S AA V IH NG
THIS	DH IH S
RIDE	R AY D
CROSSED	K R AO S T
PRAISE	P R EY Z
EXECUTOR	IH G Z EH K Y AH T ER
MEET	M IY T
DROPS	D R AA P S
BEFITS	B IH F IH T S
VAUNT	V AO N T
CONTROL	K AH N T R OW L
DREGS	D R EH G Z
UNSWEPT	AH N S W EH P T
GROW'ST	G R OW S T
USHERS	AH SH ER Z
PROCESS	P R AA S EH S
PROCESS(2)	P R AO S EH S
HIGH	HH AY
SOUGHT	S AO T
HIS	HH IH Z
SOMETHING	S AH M TH IH NG
BONES	B OW N Z
PURPOSED	P ER P AH S T
PAWS	P AO Z
DARKENING	D AA R K AH N IH NG
DARKENING(2)	D AA R K N IH NG
COUNTERFEIT	K AW N T ER F IH T
COUNTERFEIT(2)	K AW N ER F IH T
LAMB	L AE M
COMES	K AH M Z
COUNTING	K AW N T IH NG
COMPOUNDED	K AH M P AW N D AH D
COMPOUNDED(2)	K AH M P AW N D IH D
FALLS	F AO L Z
SIT	S IH T
SICKLE'S	S IH K AH L Z
HOLDS	HH OW L D Z
THRALL	TH R AO L
MOODS	M UW D Z
SWEAR	S W EH R
BEAMS	B IY M Z
MIGHTST	M AY T S T
FORSAKEN	F AO R S EY K AH N
SIN	S IH N
WATERY	W AO T ER IY
WATERY(2)	W AO T ERIY
ATTEND	AH T EH N D
WATCH	W AA CH
WATCH(2)	W AO CH
ANNEXED	AE N EH K S T
ANNEXED(2)	AH N EH K S T
CANKER	K AE NG K ER
ABUSE	AH B Y UW S
ABUSE(2)	AH B Y UW Z
FITS	F IH T S
WORTH'S	W ER TH S
TOMB	T UW M
PHYSIC	F AY Z AH K
BANKRUPT	B AE NG K R AH P T
UNTRIMMED	AH N T R IH M D
LIGHT	L AY T
LAME	L EY M
LINES	L AY N Z
CHIEF	CH IY F
WRIT	R IH T
ALLOW	AH L AW
TENURE	T EH N Y ER
FAVOURITES	F AE V AH R AY T S
DISPRAISE	D IH S P R EY Z
NEGLECT	N AH G L EH K T
NEGLECT(2)	N IH G L EH K T
BEAUTIES	B Y UW T IY Z
STAMPED	S T AE M P T
TRANSFIX	T R AE N S F IH K S
MOVE	M UW V
SIGHTLESS	S AY T L AH S
O'ERLOOK	AHAH R L AH K
VAINLY	V EY N L IY
WHILST	W AY L S T
BEGUILE	B IH G AY L
DEAREST	D IH R AH S T
ENCLOSE	IH N K L OW Z
LOOKS	L UH K S
TYRANT	T AY R AH N T
THYSELF	DH AY S EH L F
BADGES	B AE JH IH Z
PERFECT	P ER F EH K T
PERFECT(2)	P ER F IH K T
REFUSEST	R IH F Y UW Z AH S T
FRAILTIES	F R EY L T IY Z
BROOD	B R UW D
WHEREON	W EHER AO N
UNSTAINED	AH N S T EY N D
UNSTAINED(2)	AH N S T EY N ED
DECAY	D IH K EY
LO	L OW
WHEREOF	W EHER AH V
BANQUET	B AE NG K W AH T
THEMES	TH IY M Z
WILLING	W IH L IH NG
CHOOSE	CH UW Z
TICKLED	T IH K AH L D
GREATER	G R EY T ER
ANCHORED	AE NG K ER D
SWEETS	S W IY T S
STOUT	S T AW T
HANDS	HH AE N D Z
HANDS(2)	HH AE N Z
FRONT	F R AH N T
OWNER'S	OW N ER Z
KINDNESS	K AY N D N AH S
AFFECTIONS	AH F EH K SH AH N Z
DAY	D EY
DAMASKED	D AE M AE S K T
STRIVE	S T R AY V
PROFOUND	P R OW F AW N D
EASED	IY Z D
FEAST	F IY S T
MOUTHED	M AW DH D
MOUTHED(2)	M AW DH ED
TRIMMED	T R IH M D
SLIDE	S L AY D
TRUTH	T R UW TH
GAZING	G EY Z IH NG
LEGIONS	L IY JH AH N Z
TREADS	T R EH D Z
PITYING	P IH T IY IH NG
DOING	D UW IH NG
PRINCES'	P R IH N S AH Z
PRINCES'(2)	P R IH N S IH Z
ILLS	IH L Z
ALTERATION	AO L T ER EY SH AH N
SOCIETY	S OW S AY IH T IY
DECAYS	D AH K EY Z
EXCEEDED	IH K S IY D AH D
EXCEEDED(2)	IH K S IY D IH D
OUR	AW ER
OUR(2)	AW R
OUR(3)	AA R
BAY	B EY
TENTH	T EH N TH
BEWEEP	B IH W IY P
OUT	AW T
RESPECTS	R IH S P EH K T S
RESPECTS(2)	R IY S P EH K T S
RESPECTS(3)	R AH S P EH K S
RESPECTS(4)	R IY S P EH K S
CHILDREN'S	CH IH L D R AH N Z
PLODS	P L AA D Z
CONFESS	K AH N F EH S
SUFFICED	S AH F AY S T
BAD	B AE D
FROWNS	F R AW N Z
IMPART	IH M P AA R T
CAUSE	K AA Z
CAUSE(2)	K AO Z
RED	R EH D
MONUMENTS	M AA N Y AH M AH N T S
MONUMENTS(2)	M AA N Y UW M AH N T S
PERISH	P EH R IH SH
FRANK	F R AE NG K
WITHERING	W IH DH ER IH NG
DARKLY	D AA R K L IY
EMBASSY	EH M B AH S IY
ATTENDING	AH T EH N D IH NG
TIED	T AY D
THRUST	TH R AH S T
YORE	Y AO R
CURED	K Y UH R D
HER	HH ER
REARWARD	R IH ER W ER D
COULD	K UH D
KEEP	K IY P
COUNTERPART	K AW N T ER P AA R T
KEEN	K IY N
LENGTH	L EH NG K TH
LENGTH(2)	L EH NG TH
CURES	K Y UH R Z
MORTAL	M AO R T AH L
HENCE	HH EH N S
EARS	IH R Z
EARS(2)	IY R Z
RUDELY	R UW D L IY
FRAGRANT	F R EY G R AH N T
PITIED	P IH T IY D
POSSESSING	P AH Z EH S IH NG
POWERFUL	P AWER F AH L
LOVELINESS	L AH V L IY N AH S
FEASTS	F IY S T S
LEARNED'S	L ER N D Z
SUCH	S AH CH
REIGNED	R EY N D
QUALITY	K W AA L AH T IY
MOIETY	M OW AY AH T IY
UNEARED	AH N IH ER D
LOVE'	L AH V
SADLY	S AE D L IY
ORDERING	AO R D ER IH NG
DOVE	D AH V
DOVE(2)	D OW V
VULGAR	V AH L G ER
SEAT	S IY T
THEIR	DH EH R
INTELLIGENCE	IH N T EH L AH JH AH N S
PROUDER	P R AW D ER
TRAVELLED	T R AE V AH L D
BADNESS	B AE D N AH S
FAIREST	F EH R IH S T
PAINFUL	P EY N F AH L
LOW	L OW
SEALED	S IY L D
WERE'T	W EH R AH T
PERFORCE	P ER F AO R S
QUENCHED	K W EH N CH ED
PREFIGURING	P R IY F IH G Y ER IH NG
SPITES	S P AY T S
COMMENCE	K AH M EH N S
SOUNDLESS	S AW N D L AH S
STEEL	S T IY L
LOVED	L AH V D
UNLOOKED	AH N L UH K T
AUGHT	AO T
O'ER	OWER
RICHES	R IH CH AH Z
RICHES(2)	R IH CH IH Z
RICHER	R IH CH ER
BED	B EH D
JOLLITY	JH AA L AH T IY
TRANSGRESSION	T R AE N Z G R EH SH AH N
BODY'S	B AA D IY Z
LOVES	L AH V Z
LOVER	L AH V ER
DUMB	D AH M
LILY'S	L IH L IY Z
STEEP	S T IY P
DESCRIPTIONS	D IH S K R IH P SH AH N Z
VENGEFUL	V EH N JH F AH L
ACCUSING	AH K Y UW Z IH NG
ENFORCED	EH N F AO R S T
BEGGARED	B EH G ER D
FALSE	F AO L S
FORGET'ST	F AO R JH AH T S T
BEGGAR	B EH G ER
LABOURING	L EY B ER IH NG
GENTLY	JH EH N T L IY
REFIGURED	R IY F IH G Y ER D
GENTLE	JH EH N T AH L
GENTLE(2)	JH EH N AH L
BUY	B AY
TORMENT	T AO R M EH N T
HAVE	HH AE V
NEED	N IY D
TURN	T ER N
SINGS	S IH NG Z
BASTARD	B AE S T ER D
BOUGH	B AW
WITS	W IH T S
ABLE	EY B AH L
GRAVITY	G R AE V AH T IY
GRAVITY(2)	G R AE V IH T IY
ADJUNCT	AE JH AH NG K T
WHICH	W IH CH
WHICH(2)	HH W IH CH
DIVERT	D AY V ER T
DIVERT(2)	D IH V ER T
LILY	L IH L IY
ABHOR	AE B HH AO R
ADIEU	AH D UW
UNLESS	AH N L EH S
CENTRE	S EH N T ER
SENSES	S EH N S IH Z
WHO	HH UW
PRIVILAGE	P R AY V AH L AH JH
BEDS'	B EH D Z
TIME'S	T AY M Z
HARMFUL	HH AA R M F AH L
SNOWED	S N OW D
BUT	B AH T
PRISONER	P R IH Z AH N ER
PRISONER(2)	P R IH Z N ER
EXPIRED	IH K S P AY R D
WHY	W AY
WHY(2)	HH W AY
HUSBAND'S	HH AH Z B AH N D Z
AFRESH	AH F R EH SH
DENY	D IH N AY
WHEREWITH	W EHER W IH TH
BRED	B R EH D
STRONGER	S T R AO NG G ER
DISEASE	D IH Z IY Z
WIDOW'S	W IH D OW Z
PIPE	P AY P
WOUNDED	W UW N D IH D
PAINTING	P EY N T IH NG
PAINTING(2)	P EY N IH NG
OUTLIVE	AW T L IH V
DEFACE	D IH F EY S
IMPRESSION	IH M P R EH SH AH N
AFLOAT	AH F L OW T
WILFUL	W IH L F AH L
COULDST	K OWAH L D S T
BURDEN	B ER D AH N
POESY	P OW AH Z IY
BRING	B R IH NG
MANY'S	M EH N IY Z
ROUGH	R AH F
OBSEQUIOUS	AH B S IY K W IY AH S
DEBATE	D AH B EY T
SPURRING	S P ER IH NG
ENVY	EH N V IY
KNOWLEDGE	N AA L AH JH
KNOWLEDGE(2)	N AA L IH JH
CHIDING	CH AY D IH NG
PHILOMEL	F IH L AH M AH L
MUTE	M Y UW T
WOO	W UW
SHOULD	SH UH D
BASES	B EY S AH Z
BASES(2)	B EY S IH Z
BASES(3)	B EY S IY Z
PREPOSTEROUSLY	P R IH P AA S T AH R AH S L IY
PREPOSTEROUSLY(2)	P R IH P AA S T AHRAH S L IY
FUEL	F Y UW L
FUEL(2)	F Y UW AH L
MARRIAGE	M EH R IH JH
INHABIT	IH N HH AE B AH T
HOPE	HH OW P
MEANT	M EH N T
ACCESSARY	AE K S EH S EH R IY
DOUBTING	D AW T IH NG
MEANS	M IY N Z
FAMILIAR	F AH M IH L Y ER
BEAR	B EH R
PERFECTION	P ER F EH K SH AH N
WORDS	W ER D Z
DURST	D ER S T
LEASES	L IY S IH Z
SPUR	S P ER
OFFENCE'S	AH F EH N S IH Z
ENDLESS	EH N D L AH S
HERETIC	HH EH R AH T IH K
EVIDENT	EH V AH D AH N T
BRAIN	B R EY N
GUST	G AH S T
MARRIED	M EH R IY D
SUMMON	S AH M AH N
SHE	SH IY
CONTAIN	K AH N T EY N
FIXED	F IH K S T
VIEW	V Y UW
STRENGTHENED	S T R EH NG TH AH N D
SLUTTISH	S L AH T AH SH
UNTRUE	AH N T R UW
OUTBRAVES	AW T B R EY V Z
FARTHEST	F AA R DH AH S T
MISCALLED	M IH S K AO L D
FRAME	F R EY M
SHAKE	SH EY K
LEGACY	L EH G AH S IY
MERITS	M EH R AH T S
MERITS(2)	M EH R IH T S
CHANGES	CH EY N JH AH Z
CHANGES(2)	CH EY N JH IH Z
ENFEEBLED	EH N F IY B AH L D
VIOLET	V AY AH L IH T
SLEEPING	S L IY P IH NG
TRIPPING	T R IH P IH NG
ERROR	EH R ER
CLOSET	K L AA Z AH T
RECORD	R AH K AO R D
RECORD(2)	R EH K ER D
RECORD(3)	R IH K AO R D
PATTERN	P AE T ER N
VOWS	V AW Z
UNSEEING	AH N S IY IH NG
TEND	T EH N D
STATE	S T EY T
BOUGHS	B AW Z
PROGRESS	P R AA G R EH S
PROGRESS(2)	P R AH G R EH S
PROGRESS(3)	P R OW G R EH S
NEITHER	N IY DH ER
NEITHER(2)	N AY DH ER
BESMEARED	B IH S M IH ER D
WIRY	W IH R IY
DREADING	D R EH D IH NG
DATELESS	D EY T L AH S
DRESSINGS	D R EH S IH NG Z
JOY	JH OY
SORROW	S AA R OW
HOOKS	HH UH K S
KEY	K IY
PRECIOUS	P R EH SH AH S
WEARY	W IH R IY
SWIFT	S W IH F T
HITS	HH IH T S
FIGURED	F IH G Y ER D
INSTANT	IH N S T AH N T
LIMITS	L IH M AH T S
LIMITS(2)	L IH M IH T S
INVITED	IH N V AY T AH D
INVITED(2)	IH N V AY T IH D
THENCE	DH EH N S
EQUAL	IY K W AH L
MINDS	M AY N D Z
APRIL	EY P R AH L
ADMIT	AH D M IH T
DEVOUR	D IH V AW ER
STREAMS	S T R IY M Z
STORE'S	S T AO R Z
BEHAVIOUR	B IH HH EY V Y ER
CANOPY	K AE N AH P IY
LOFTY	L AO F T IY
KINDS	K AY N D Z
KINDS(2)	K AY N Z
GLORIOUS	G L AO R IY AH S
AYE	AY
COMMENT	K AA M EH N T
FESTER	F EH S T ER
MARJORAM	M AA R JH ER AE M
STATUES	S T AE CH UW Z
UNFOLDING	AH N F OW L D IH NG
WALK	W AO K
WALK(2)	W AA K
COMMEND	K AH M EH N D
BEGUILED	B IH G AY L D
TABLE	T EY B AH L
RENEWEST	R IY N UW AH S T
SECOND	S EH K AH N D
ADDITION	AH D IH SH AH N
WILLS	W IH L Z
DEVISE	D IH V AY Z
DEVISE(2)	D IH V AY S
WHATE'ER	W AA T AH AH R
SEASONED	S IY Z AH N D
CERTAIN	S ER T AH N
POET	P OW AH T
WASTE	W EY S T
DEFINE	D IH F AY N
TYRANNY	T IH R AH N IY
DESCRIBE	D IH S K R AY B
GENERAL	JH EH N ER AH L
GENERAL(2)	JH EH N R AH L
PROUDEST	P R AW D AH S T
LEAGUE	L IY G
PAINTED	P EY N T AH D
PAINTED(2)	P EY N T IH D
PAINTED(3)	P EY N AH D
PAINTED(4)	P EY N IH D
RELEASING	R IY L IY S IH NG
HEAR'ST	HH IY R S T
LETS	L EH T S
UNMOVED	AH N M UW V D
OVERTURN	OW V ER T ER N
PAINTER	P EY N T ER
PAINTER(2)	P EY N ER
DEBTOR	D EH T ER
NOVEL	N AA V AH L
SOURLY	S AW ER L IY
SOURLY(2)	S AWER L IY
WILT	W IH L T
PLAIN	P L EY N
APPEARANCE	AH P IH R AH N S
AS	AE Z
AS(2)	EH Z
WILL	W IH L
WILL(2)	W AH L
RIPER	R AY P ER
HATE'S	HH EY TS
AT	AE T
RIPE	R AY P
PHYSICIANS	F AH Z IH SH AH N Z
PHYSICIANS(2)	F IH Z IH SH AH N Z
ALMOST	AO L M OW S T
THUS	DH AH S
LASCIVIOUS	L AH S IH V IY AH S
LASCIVIOUS(2)	L AH S IH V IYAH S
HEARTED	HH AA R T AH D
HEARTED(2)	HH AA R T IH D
LAMBS	L AE M Z
SITS	S IH T S
HALT	HH AO L T
RANSOM	R AE N S AH M
PIED	P AY D
PERHAPS	P ER HH AE P S
CROSS	K R AO S
PROCEEDS	P R AH S IY D Z
PROCEEDS(2)	P R OW S IY D Z
LARGESS	L AA R JH AH S
ADVERSE	AE D V ER S
PARTS	P AA R T S
DUTEOUS	D Y UW T IY AH S
FREEZINGS	F R IY Z IH NG Z
PARTY	P AA R T IY
BLOOMS	B L UW M Z
SLAVE	S L EY V
FLESH	F L EH SH
SHAMES	SH EY M Z
LASTING	L AE S T IH NG
DRINK	D R IH NG K
UPON	AH P AA N
EFFECT	IH F EH K T
EFFECT(2)	IY F EH K T
EFFECT(3)	AH F EH K T
OUTCAST	AW T K AE S T
NIGHTLY	N AY T L IY
DECEMBER'S	D IH S EH M B ER Z
DUST	D AH S T
JUDGMENT	JH AH JH M AH N T
STEALS	S T IY L Z
AUDIT	AO D IH T
SCARCELY	S K EH R S L IY
OFF	AO F
I	AY
WHOLE	HH OW L
COLOUR	K AH L ER
WELL	W EH L
THOUGHT	TH AO T
AMENDS	AH M EH N D Z
OFT	AO F T
SETS	S EH T S
ARISING	ER AY Z IH NG
TWIRE	T W AY R
LEST	L EH S T
RESTORE	R IH S T AO R
FEATHERED	F EH DH ER D
STORES	S T AO R Z
KISS	K IH S
HEAVILY	HH EH V AH L IY
O'ERPRESSED	AHAH R P R AH S T
GULLS	G AH L Z
CRIES	K R AY Z
INTERIM	IH N T ER AH M
INTERIM(2)	IH N T R AH M
INTERIM(3)	IH N ER AH M
SKILL	S K IH L
THITHER	TH IH DH ER
DOST	D AA S T
RECKONING	R EH K AH N IH NG
RECKONING(2)	R EH K N IH NG
FIELD	F IY L D
ONWARD	AO N W ER D
SKY	S K AY
FLED	F L EH D
SIMPLE	S IH M P AH L
ADD	AE D
OTHER	AH DH ER
OTHER(2)	AHDHER
WET	W EH T
INFANT'S	IH N F AH N T S
RAVEN	R EY V AH N
WOOED	W UW D
FATE	F EY T
TESTY	T EH S T IY
DEVISED	D IH V AY Z D
FAMINE	F AE M AH N
WHO'S	HH UW Z
CRUSHED	K R AH SH T
SMOTHER	S M AH DH ER
SMOTHER(2)	S M AHDHER
FIVE	F AY V
KNOW	N OW
UNSEEN	AH N S IY N
PRESS	P R EH S
FOOLS	F UW L Z
LOSS	L AO S
SHOWING	SH OW IH NG
LIKE	L AY K
LOST	L AO S T
PERPETUAL	P ER P EH CH UW AH L
ADMITTED	AH D M IH T AH D
BESEECHERS	B IH S IY CH ER Z
HEED	HH IY D
LOSE	L UW Z
NERVES	N ER V Z
WORKS	W ER K S
SOFT	S AA F T
SOFT(2)	S AO F T
PAGE	P EY JH
LENDS	L EH N D Z
THEREIN	DH EH R IH N
DECEASE	D IH S IY S
EXCEED	IH K S IY D
INCONSTANT	IH N K AA N S T AH N T
WORKINGS	W ER K IH NG Z
THIEF	TH IY F
ALIVE	AH L AY V
IMMORTAL	IH M AO R T AH L
HAIR	HH EH R
GROWTH	G R OW TH
SPRINGS	S P R IH NG Z
SPRINGS(2)	S P ER IH NG Z
HOME	HH OW M
TRANSPORT	T R AE N S P AO R T
HEAVEN'S	HH EH V AH N Z
HEAVEN'S(2)	HH EHVAH N Z
LEAD	L EH D
LEAD(2)	L IY D
BROAD	B R AO D
LEAN	L IY N
LEAP	L IY P
FOUNTAIN	F AW N T AH N
PASSION	P AE SH AH N
MASKED	M AE S K T
O'ERTAKE	AAAH R T EY K
POETS	P OW AH T S
SLIGHT	S L AY T
DEATH'S	D EH TH S
HOW	HH AW
EXPIRE	IH K S P AY R
ALTHOUGH	AO L DH OW
WORTHY	W ER DH IY
POSTERITY	P AA S T EH R AH T IY
IMAGINARY	IH M AE JH AH N EH R IY
INSULTS	IH N S AH L T S
WORTHS	W ER TH S
STAGE	S T EY JH
ABOUT	AH B AW T
MURD'ROUS	M AH R D R AH S
RARE	R EH R
DUN	D AH N
LINGER	L IH NG G ER
LINGER(2)	L IH NG ER
FREEDOM	F R IY D AH M
HARDER	HH AA R D ER
BLESSINGS	B L EH S IH NG Z
GAINER	G EY N ER
HAIRS	HH EH R Z
TONGUE	T AH NG
BESHREW	B IH SH R UW
OUTSTRIPPED	AW T S T R IH P T
OWN	OW N
POLISHED	P AA L IH SH T
OWE	OW
ATTAINT	AE T EY N T
GUARD	G AA R D
PROMISE	P R AA M AH S
ESTEEM	EH S T IY M
FEMALE	F IY M EY L
LAWFUL	L AO F AH L
QUICKLY	K W IH K L IY
GAZETH	G EY Z IH TH
SUBORNED	S AH B AO R N D
FIRED	F AYER D
VICTORS	V IH K T ER Z
VEIL	V EY L
TRENCHES	T R EH N CH IH Z
WATCHMAN	W AA CH M AH N
SPREAD	S P R EH D
GRIEF'S	G R IY F S
FUNCTION	F AH NG K SH AH N
PROPHETIC	P R AH F EH T IH K
HOISTED	HH OY S T AH D
HOISTED(2)	HH OY S T IH D
BRAND	B R AE N D
INVOCATE	IH N V OW K AH T
FOUNTAINS	F AW N T AH N Z
GAIT	G EY T
PROPHECIES	P R AA F AH S IY Z
PLAGUE	P L EY G
GAIN	G EY N
DELIVERS	D IH L IH V ER Z
EAR	IY R
EAR(2)	IH R
EAT	IY T
BUD	B AH D
HE	HH IY
COUNT	K AW N T
MADE	M EY D
WISE	W AY Z
PRINCES	P R IH N S AH Z
PRINCES(2)	P R IH N S IH Z
GLORY	G L AO R IY
WHETHER	W EH DH ER
WHETHER(2)	HH W EH DH ER
WISH	W IH SH
GRIEVE	G R IY V
TRIUMPHANT	T R AY AH M F AH N T
EYES'	AY Z
PLACED	P L EY S T
CRUEL	K R UW L
CRUEL(2)	K R UW AH L
CONVERTED	K AH N V ER T IH D
LIMIT	L IH M AH T
MONUMENT	M AA N Y UW M AH N T
MONUMENT(2)	M AA N Y AH M AH N T
MINUTES	M IH N AH T S
BEARING	B EH R IH NG
RIGHTLY	R AY T L IY
DEATHS	D EH TH S
FRIEND'	F R EH N D
MEASURE	M EH ZH ER
DEARTH	D ER TH
DENOTE	D IH N OW T
GOODNESS	G UH D N AH S
GOODNESS(2)	G UH D N IH S
INK	IH NG K
FLEETING	F L IY T IH NG
NAMING	N EY M IH NG
ENDEARED	EH N D IY R D
NURSED	N ER S T
MUTUAL	M Y UW CH UW AH L
COMPARED	K AH M P EH R D
DIDST	D IH D S T
DRESSED	D R EH S T
BOOT	B UW T
FORESTS	F AO R AH S T S
DETAIN	D IH T EY N
SLUMBERS	S L AH M B ER Z
BOOK	B UH K
WITNESS	W IH T N AH S
SICK	S IH K
UNLETTERED	AH N L EH T ER D
BEHOLD	B IH HH OW L D
WHAT'S	W AH T S
WHAT'S(2)	HH W AH T S
THRIVERS	TH R AY V ER Z
SEMBLANCE	S EH M B L AH N S
STAR	S T AA R
OPPRESSION	AH P R EH SH AH N
VARIATION	V EH R IY EY SH AH N
STAY	S T EY
METHINKS	M EH TH AH NG K S
CHANCE	CH AE N S
QUIETUS	K W IY T AH S
EARTHLY	ER TH L IY
ASTRONOMY	AH S T R AA N AH M IY
FRIENDS	F R EH N D Z
TAN	T AE N
GHOST	G OW S T
STIRRED	S T ER D
RANKS	R AE NG K S
HE'S	HH IY Z
JEWEL	JH UW AH L
JEWEL(2)	JH UW L
PICTURED	P IH K CH ER D
PUPIL	P Y UW P AH L
SWAY'ST	S W EY S T
VASSAL	V AE S AH L
DETERMINATION	D IH T ER M AH N EY SH AH N
ACCIDENTS	AE K S AH D AH N T S
GARDENS	G AA R D AH N Z
