RB, JJS, IN, 2
VBP, VBZ, VBN, 19
NNS, RBR, TO, 1
VBG, JJ, DT, 7
VB, NNS, PRP, 10
CD, VBD, RP, 3
VB, RB, IN, 247
IN, VBZ, RB, 30
VBN, WP, MD, 4
JJS, NN, VBN, 1
DT, JJR, VBN, 4
CD, PRP, DT, 1
NN, VBZ, VBP, 11
VBG, VBZ, DT, 8
JJ, CD, WRB, 2
PRP, EX, CC, 1
WP, NNS, CC, 1
PRP, DT, VBP, 10
VBP, VBG, VBZ, 2
JJS, MD, IN, 1
CC, CC, NN, 1
VBN, -NONE-, NNS, 6
VBD, NN, VBZ, 13
CC, PRP$, VBZ, 1
CC, JJS, JJ, 21
RB, -NONE-, VBP, 1
WP$, NNS, CC, 4
NNP, NNS, WRB, 2
VBG, RB, PRP$, 2
RB, WRB, IN, 10
VB, VB, DT, 8
RP, VBD, RB, 1
NN, DT, WRB, 1
NNS, VBP, VB, 4
RB, RBR, PRP, 2
JJ, NN, RP, 1
VBZ, CD, JJ, 4
WDT, VBZ, CC, 3
VB, JJ, VB, 4
IN, WP, NN, 25
PRP, NN, JJ, 5
VBZ, IN, WRB, 7
VBD, RB, VBG, 156
VBZ, IN, EX, 12
VBD, JJ, IN, 352
VBD, CD, CC, 9
PRP, PRP, MD, 43
JJR, TO, NNS, 1
IN, CC, TO, 4
VBN, VBN, DT, 26
NN, CD, WDT, 3
RB, DT, MD, 5
PRP, WRB, TO, 3
VBN, -NONE-, VBN, 1
VBN, PRP, WDT, 1
CC, WP, RB, 11
VBZ, RP, PRP$, 3
VBG, DT, NNS, 130
WP, NN, PRP, 7
VBN, -NONE-, DT, 3
VB, RBR, NN, 5
NNS, JJ, VB, 3
JJS, NNS, RB, 9
PRP$, JJ, VBZ, 5
TO, PRP, TO, 13
PRP, WP, NNS, 7
PRP, CC, RB, 61
RB, NNS, WP, 3
IN, PDT, PRP, 1
VB, NNS, WRB, 3
RBR, TO, JJ, 1
VB, VBP, PRP, 1
JJ, CD, VBG, 2
VBN, VBN, IN, 325
VBG, PRP, VB, 13
WRB, NN, PRP, 7
JJR, IN, VBZ, 2
TO, NNP, NNP, 6
VBP, CD, VBD, 2
RP, RB, VBZ, 1
-NONE-, JJ, CC, 1
-NONE-, VBG, JJR, 1
VBD, VBN, JJR, 12
JJR, RBR, JJ, 3
JJR, JJ, WRB, 2
CC, NN, WRB, 14
VBZ, VBZ, NN, 5
CD, DT, CC, 6
VBP, EX, MD, 1
WP, MD, PRP$, 3
VBD, RB, JJ, 439
IN, WDT, -NONE-, 1
RP, PRP, RB, 2
RB, VBN, JJR, 2
WP, VBG, TO, 1
NN, RB, JJS, 3
PRP$, CD, JJS, 1
RB, VBZ, TO, 34
JJ, VBG, IN, 17
NN, JJ, DT, 34
CC, DT, TO, 4
JJR, CC, VBN, 3
JJR, TO, VB, 36
VB, WP, VBZ, 14
VBN, VBG, PRP$, 9
DT, VBZ, TO, 17
JJS, NN, VBG, 3
NNS, CC, CC, 2
DT, NNS, VBD, 640
VBD, CD, DT, 2
IN, DT, JJ, 6250
VBG, CC, VBD, 19
VB, RP, VBN, 2
PRP, DT, VBG, 8
PRP, RP, JJR, 1
NNS, WDT, PRP, 90
CC, PRP, NN, 2
PRP, -NONE-, VBG, 2
VBZ, VBN, VBP, 2
RB, NNP, VBZ, 2
VB, WP$, NNS, 1
MD, JJ, NNS, 3
VBN, VBN, RBR, 3
VBP, WP, RB, 3
JJ, JJS, TO, 1
NN, NNS, EX, 6
VB, NN, VBZ, 10
PRP, WRB, JJ, 10
CC, NN, RB, 91
RB, DT, VBD, 11
-NONE-, NN, CC, 4
JJ, DT, VBZ, 3
PRP, PRP$, RB, 1
IN, RB, WDT, 2
DT, CD, VBN, 10
VBG, WDT, JJS, 1
PRP, RB, DT, 60
RBR, IN, NN, 25
CC, WDT, PRP, 3
JJ, VBN, -NONE-, 1
JJS, JJ, PRP$, 1
NNS, VBD, CC, 39
NNS, CC, RB, 228
NNS, WP, JJ, 5
RP, NNS, RB, 3
IN, WDT, EX, 11
TO, PRP, CC, 41
VBP, NN, DT, 14
NN, DT, PRP, 8
IN, VBN, VBZ, 1
NNS, -NONE-, JJ, 2
NN, CC, RB, 586
EX, IN, DT, 12
CD, VBP, RB, 8
NNS, CD, NN, 13
IN, CC, MD, 2
-NONE-, VBD, CC, 1
VBD, EX, VBP, 3
VBD, CC, RB, 42
WDT, RB, MD, 6
VBG, CC, NNS, 9
PRP, VBD, PRP$, 326
DT, VBG, PRP, 4
VBZ, WP, NN, 8
DT, IN, WDT, 11
PRP, VBG, VBD, 1
CC, VBZ, WDT, 1
DT, RB, IN, 48
DT, RBS, NN, 3
CC, NNS, JJR, 1
CC, VBP, JJ, 15
WP, VBP, RB, 29
JJ, IN, JJS, 13
RP, WRB, VBD, 1
PRP, JJ, NN, 48
RB, VBN, CD, 9
VBP, VBP, VBN, 5
WRB, MD, PRP, 42
VBN, PRP, VBZ, 16
NN, JJR, CC, 3
VBD, NNS, WDT, 6
DT, JJR, PRP$, 1
NN, NN, NNP, 70
TO, RBR, PRP$, 1
DT, VBN, VBG, 14
MD, NN, NN, 1
CC, NNP, CC, 2
VBP, NN, RP, 1
VBD, CD, RB, 2
VBP, VBN, PRP, 57
DT, VB, JJ, 2
CD, NN, WDT, 13
RB, VBP, NNS, 46
VBG, IN, PRP$, 155
DT, CC, JJS, 1
WP, NN, IN, 49
-NONE-, RB, DT, 2
PRP, WRB, EX, 2
JJ, VB, JJ, 7
RP, IN, EX, 2
VBN, IN, MD, 5
VBD, VBN, JJ, 138
IN, CD, TO, 10
PRP, WRB, RB, 5
CC, VB, NNP, 1
RB, VBZ, RBR, 1
DT, NN, VBN, 247
DT, JJ, MD, 31
PRP$, CD, NNS, 21
WRB, VBZ, NN, 1
WRB, VBD, NN, 1
PRP, EX, RB, 1
JJR, NN, WDT, 2
VB, PRP, WP, 10
WP, NNS, VBZ, 3
NN, EX, VBZ, 25
VB, VBN, JJS, 5
VBP, VBD, VBG, 1
JJ, NNS, DT, 225
RP, RB, PRP, 10
CD, CD, NNS, 15
NN, RP, DT, 17
PRP, DT, VBN, 4
VBG, JJR, NNS, 3
PRP, WDT, MD, 1
VBD, CD, VBP, 1
CC, JJS, NNS, 5
VBD, VBZ, JJ, 4
WP, VBD, VBP, 10
IN, RB, CD, 30
VBG, RB, CC, 25
WDT, VBZ, VBZ, 5
WP, IN, EX, 1
VBN, IN, WRB, 12
JJ, JJ, RBR, 2
VB, PRP, -NONE-, 4
CC, DT, RBR, 5
VBZ, VBN, JJ, 82
VBN, VBN, TO, 81
VBZ, JJR, CC, 8
NN, MD, NN, 2
PRP$, VBG, CC, 1
VBN, VBZ, TO, 4
WRB, JJ, JJS, 1
VB, PRP, VBG, 22
JJ, WRB, MD, 3
VBP, CD, RB, 3
IN, NN, RP, 2
EX, VBP, CD, 17
NNS, PRP, TO, 17
VBD, -NONE-, VBG, 3
RBR, NN, VBZ, 1
EX, RB, RB, 2
VBP, CC, CD, 2
TO, DT, JJS, 24
JJ, JJ, VBN, 2
PRP$, RB, VBP, 4
NN, DT, JJ, 734
VBP, JJ, JJ, 42
RB, WP, -NONE-, 1
VB, TO, VB, 584
RB, NNS, -NONE-, 1
NN, VBN, CC, 40
IN, PRP, VB, 16
VBP, JJR, CC, 4
VBN, JJ, RB, 18
IN, PRP, NNP, 5
TO, IN, NN, 3
WP, VBD, JJR, 2
VB, DT, JJ, 837
VB, CC, RB, 42
VB, TO, NNP, 6
PRP, NNP, TO, 1
DT, NNS, RBR, 4
WRB, DT, IN, 7
CD, JJS, RB, 1
TO, PRP, IN, 117
WP, VBZ, WP, 2
CC, VBG, MD, 4
RP, RB, CC, 16
TO, NN, RB, 43
WDT, NNS, JJ, 1
NNS, RB, NNP, 1
NN, RB, JJ, 243
JJR, CD, RB, 2
VBD, NN, VBG, 12
CC, VB, VBN, 32
VBN, WP, VBN, 1
CC, VB, DT, 133
DT, JJ, CC, 461
PRP$, DT, NN, 31
RB, WRB, MD, 6
VBP, VBN, DT, 156
DT, NN, VBG, 578
RB, RBR, VBG, 8
CD, RB, VBN, 8
VBZ, NNP, NN, 21
NN, NN, VBZ, 766
VBG, JJ, TO, 21
VBD, JJ, NN, 308
JJ, NN, CC, 1331
IN, NNP, VBD, 3
RBR, VBN, PRP, 4
NNS, JJS, VBN, 1
JJR, VBG, DT, 2
VBZ, TO, NN, 28
VBN, NN, -NONE-, 1
JJ, NN, JJR, 1
IN, VBN, VBD, 6
WP, RB, VBZ, 13
RP, NN, IN, 22
VBD, VBD, RP, 1
PRP, VBP, JJR, 17
EX, IN, PRP, 1
VB, CC, VBN, 24
RB, VBP, VBD, 9
PRP, JJ, VBD, 11
DT, RBR, WRB, 1
CC, WP$, NN, 6
DT, RBR, VBN, 7
CC, JJS, VBD, 1
TO, VBN, RB, 1
VBD, VBG, PRP$, 57
CD, VBG, RP, 1
RB, IN, VBD, 9
TO, DT, WP, 12
VBG, VBN, VBZ, 1
MD, PRP, DT, 1
IN, WP, VBD, 24
IN, CD, WDT, 4
DT, VBP, IN, 8
JJ, VBG, NNS, 14
VBD, CD, NNS, 57
JJS, RB, VBN, 7
VBD, VBP, RBR, 1
CC, VBZ, CD, 2
NNS, PRP, JJR, 2
CC, NN, VBZ, 77
VB, RB, RBR, 14
VBD, VBN, VB, 1
IN, VBP, IN, 1
IN, VBD, TO, 7
VBN, RP, PRP, 8
VBG, VBD, PRP, 1
VBD, JJ, WDT, 1
JJ, JJ, VBG, 1
CC, VBN, TO, 31
VBD, VBP, VBN, 4
WP, VBZ, JJ, 24
PRP$, DT, NNS, 3
DT, RB, CC, 28
VBP, DT, CD, 11
CC, VBZ, IN, 18
DT, DT, RBR, 8
CC, WRB, VBP, 5
RB, WRB, DT, 38
IN, PDT, JJ, 5
VBN, NNS, CC, 93
VB, PDT, NNS, 2
TO, WP, JJR, 1
EX, IN, VBG, 1
VBD, DT, VBG, 13
NN, NN, VB, 40
WRB, NN, MD, 10
VB, IN, VBN, 11
RB, PRP, VBG, 3
VBD, VB, VBP, 2
VBZ, JJR, DT, 2
PRP, WRB, VBN, 1
RB, JJ, CD, 12
DT, JJR, CC, 10
PRP$, NNS, CC, 271
DT, EX, RB, 1
VB, VBN, MD, 7
CD, TO, VB, 16
VBZ, PRP, TO, 25
RP, TO, JJ, 6
VBG, VBN, WP, 1
PRP, VB, MD, 2
VBN, IN, VBN, 32
TO, VBG, NNP, 1
DT, WDT, IN, 1
RB, NNS, CC, 17
WDT, IN, NN, 20
RB, CD, CD, 5
TO, PRP$, NN, 330
CC, EX, TO, 1
VBD, VBP, IN, 4
NN, WRB, PRP, 240
RB, VBZ, VBG, 12
VBZ, WRB, NN, 1
JJ, JJ, WDT, 4
VBD, VBD, WRB, 2
CD, VB, JJ, 1
CC, WRB, NN, 9
VBP, CD, DT, 2
PRP$, MD, PRP, 1
WRB, RB, RB, 6
DT, NNS, NNS, 47
NN, VBD, VBG, 311
TO, VBN, CC, 1
PRP, VBD, PDT, 62
RB, RB, VBZ, 66
IN, DT, NNS, 2767
CC, NNS, RBS, 1
CC, VBP, NNS, 14
JJ, VBP, JJR, 2
NNS, -NONE-, VBZ, 1
WRB, WP, DT, 1
IN, TO, JJ, 9
CC, VBN, WRB, 2
PRP, VBZ, NN, 80
RBR, IN, VBD, 2
VBP, RB, MD, 3
WDT, NNP, NNP, 1
VBD, PRP$, CD, 1
VBG, VBZ, CD, 2
PRP, VBD, NN, 333
PRP, IN, TO, 21
JJS, RB, VBG, 2
RBR, VBG, JJR, 1
NNS, WDT, VBZ, 31
NNP, NNP, DT, 4
VB, CC, WRB, 8
JJR, WP, MD, 2
VB, CC, NNS, 6
RB, VBP, VB, 5
RB, IN, WDT, 3
VBN, RB, CC, 49
VBG, IN, JJR, 6
VBD, TO, MD, 1
WDT, VBD, DT, 42
JJS, RB, NNS, 1
NNP, NNS, WP, 7
RP, RB, RB, 17
NNS, VBD, WP, 2
JJS, NNS, NN, 4
VB, PRP, WRB, 14
VBP, JJS, VBG, 2
VB, PRP$, PRP, 2
CC, WRB, NNS, 9
VBD, DT, VBN, 65
VBP, JJS, NNS, 1
WP, JJ, VBN, 2
MD, RB, VB, 1029
VBN, IN, RB, 118
JJS, NNS, IN, 52
VBP, NN, VBZ, 11
VBN, CC, RBR, 1
IN, NN, WRB, 82
TO, NNP, VB, 1
NNP, VBZ, VBN, 9
JJ, IN, IN, 115
IN, VBN, NN, 120
TO, JJ, NNS, 133
JJR, VBZ, NNP, 2
VBD, RB, TO, 139
IN, WP$, NN, 5
CD, RP, IN, 4
NN, VBN, VBZ, 4
NN, RB, RBR, 16
PRP$, VBG, RB, 4
TO, VBN, NNS, 4
JJ, CC, JJ, 704
PRP$, JJ, VBD, 3
TO, VB, MD, 15
IN, NN, NNP, 39
VBN, CC, EX, 6
PRP, VB, EX, 1
DT, MD, VBZ, 1
VBD, VBP, RB, 2
DT, CD, CC, 17
WDT, VBG, DT, 4
RP, VBN, RP, 1
WRB, RB, CC, 1
CD, VBD, VBZ, 1
IN, CC, VB, 16
VBN, RBR, VBG, 1
CC, IN, CD, 14
VBD, PDT, EX, 1
NN, RB, NNS, 9
VBN, PRP, DT, 46
MD, RB, VBG, 2
JJR, IN, DT, 157
NN, TO, DT, 868
JJ, VBN, WP$, 1
VBN, RBR, TO, 1
JJ, TO, JJS, 3
PRP$, NNS, NNS, 20
-NONE-, WP, DT, 1
NN, VBD, NNS, 126
NNS, VBP, NNP, 3
VBD, EX, CC, 1
VBD, TO, JJR, 1
CC, NNS, RB, 56
WP, TO, VB, 29
VB, VBN, EX, 4
CD, VBN, RP, 1
RB, VBD, RP, 27
VBZ, VBD, PRP, 1
DT, MD, TO, 3
JJR, NN, WRB, 2
VBD, PRP, NN, 59
VBP, VBZ, RBR, 2
VBG, TO, PRP, 18
JJS, NN, PRP$, 1
VB, TO, DT, 140
NN, DT, JJR, 20
CC, PRP, RBR, 1
CC, VBG, RB, 22
RBR, NN, VBG, 2
EX, VBD, CD, 28
DT, NN, IN, 11458
JJ, DT, PRP$, 1
DT, JJS, VBN, 5
PRP, RB, PRP$, 4
PRP, NNS, VBP, 4
JJS, NNS, TO, 6
VB, VBG, NN, 25
CC, WP, VBN, 10
NNS, NN, JJ, 17
VBD, PRP$, IN, 3
IN, WDT, JJ, 29
PRP, VBZ, MD, 8
NN, VBG, IN, 363
VB, PRP, VB, 138
VB, VBN, RP, 90
VBP, NNS, CC, 45
RB, NNP, NNP, 3
VBP, NNP, DT, 1
JJ, VBZ, JJS, 1
RP, NN, VBZ, 3
JJR, RB, DT, 8
PRP$, PRP, VBP, 7
NNP, VBZ, VBG, 4
WP, RB, TO, 8
JJR, NN, MD, 5
NN, NN, IN, 3153
VBG, VBZ, JJ, 4
VB, VBG, JJ, 9
EX, PRP, VBD, 20
PRP, VBD, VBN, 1335
VBD, TO, VBG, 1
NN, VBZ, TO, 217
PRP$, NNS, VBP, 169
CD, NNS, CC, 66
IN, WRB, CD, 3
PRP$, RP, IN, 4
RP, TO, CC, 2
CD, VBN, JJ, 2
JJ, WRB, NNS, 4
IN, IN, WDT, 3
VB, NNS, JJR, 1
NNS, DT, NNP, 1
NNS, TO, WRB, 1
EX, VBD, PRP$, 1
RP, NNS, WRB, 1
CD, VBZ, MD, 1
VBD, NNS, TO, 22
PRP, IN, VBZ, 3
VBD, PRP$, NN, 475
NN, PRP$, IN, 5
VBG, VBD, NNS, 1
PRP, VB, NNS, 11
IN, NN, JJS, 4
WRB, JJR, NN, 1
VB, VBN, WP, 5
VBP, JJ, VBD, 1
PRP, WDT, NNS, 1
PRP, VBZ, WP, 6
PRP$, NN, NN, 854
NNS, JJR, CC, 7
NNS, JJS, WRB, 1
JJ, TO, DT, 235
WP, DT, VBP, 1
VBG, VBN, VBG, 1
VBG, NNS, VBN, 5
VB, RP, CC, 34
RP, RB, NNS, 2
VBG, WP, JJ, 1
IN, DT, CD, 229
VBP, NN, MD, 7
JJ, NNP, IN, 1
VBN, CC, VBD, 78
VBP, NNS, PRP, 8
VBZ, VBD, PRP$, 1
NN, IN, VBD, 65
RBR, IN, IN, 10
RB, CC, RBR, 1
VB, WDT, DT, 1
CC, TO, NNP, 1
CC, PRP$, NN, 298
VBN, RB, RP, 2
WP, VBD, TO, 20
VBG, RB, VBN, 23
DT, VBZ, RB, 98
CC, JJR, WP, 1
DT, JJS, VBG, 13
RP, IN, NN, 104
VB, CD, WP, 1
NN, NN, PRP, 443
NN, NN, DT, 655
IN, VB, DT, 2
NN, VBN, NN, 56
NNS, WP$, NN, 15
NN, VBD, NN, 462
RB, DT, TO, 2
DT, NNP, VBD, 2
NNS, JJR, RB, 4
NN, RBR, MD, 3
JJR, JJ, PRP$, 1
JJR, IN, NN, 36
VBD, RB, MD, 3
RB, VBP, MD, 3
TO, PRP, DT, 20
RB, TO, RB, 3
RP, IN, PDT, 2
NNP, VBZ, VBP, 1
WP, JJ, VBD, 6
RB, RP, NN, 1
PRP$, JJ, PRP$, 4
PRP, VBD, VBG, 521
CD, PRP, MD, 3
PRP$, NN, WDT, 56
CC, JJ, CD, 6
WDT, NNS, RB, 10
PRP, RB, JJR, 25
JJS, NN, DT, 12
NN, VBG, NN, 225
PRP$, IN, JJ, 7
WRB, CD, NN, 1
DT, MD, DT, 1
VBP, VBG, NNS, 18
VBD, WDT, VBD, 3
PRP, VBZ, JJ, 263
IN, EX, PRP, 5
RB, JJR, RB, 12
VB, PRP$, JJS, 6
NNS, NN, MD, 13
JJ, CC, DT, 153
VBP, RBR, NN, 1
JJS, NNS, CC, 13
MD, CD, VB, 3
VBZ, JJS, JJ, 11
VB, VBD, TO, 9
JJR, JJ, JJ, 7
NNS, WDT, JJR, 3
IN, RBR, IN, 3
JJ, RBR, VBN, 1
VBN, EX, WRB, 1
CC, PRP, VBP, 248
JJR, VBG, NN, 3
RP, VBZ, VBN, 1
RB, NN, RBR, 1
VBN, EX, VBG, 1
RB, VBZ, VB, 5
VBN, NN, JJR, 1
NN, JJS, NNS, 8
VBG, PRP$, VBG, 1
LS, NNS, NN, 1
VB, WRB, CD, 3
VBZ, CC, IN, 12
NNS, JJ, VBD, 4
IN, PRP$, JJS, 18
RB, VBD, RB, 110
NNS, VBP, CD, 13
VBP, VBD, CC, 2
VBP, NN, PRP$, 5
VBZ, IN, CC, 10
DT, VBP, NN, 5
NNS, RB, VBZ, 49
VBD, PRP, VB, 47
NN, RP, WRB, 1
RP, DT, JJS, 2
VBZ, WDT, VBZ, 2
JJ, NNS, CC, 699
VBD, VB, NNS, 3
NNP, VBD, PRP, 3
IN, RB, MD, 3
WDT, IN, VBP, 1
CD, JJR, JJ, 6
PRP, VBZ, PRP$, 56
WP$, NNS, RB, 2
VBD, TO, NNS, 13
CC, VB, PRP$, 35
NN, WDT, VBD, 201
CC, NN, RBR, 1
VBP, VBG, WDT, 1
PRP, CC, VB, 59
RB, DT, JJS, 38
PRP$, JJR, NN, 5
JJ, RBR, DT, 1
VBP, PRP, JJS, 1
TO, VB, PDT, 14
VBD, NN, WRB, 3
TO, VBD, NN, 2
PRP$, NNS, JJ, 30
RBS, JJ, NNS, 53
PRP, JJR, VBP, 1
JJ, PRP, JJ, 1
WP, PRP, DT, 1
VBP, TO, DT, 63
RB, TO, VBN, 2
TO, VB, JJ, 691
VBG, NN, VB, 2
VBN, WRB, PRP$, 1
TO, CC, NN, 1
VBD, DT, RBR, 15
NN, PRP, DT, 41
VBZ, DT, JJ, 589
PRP, PRP, VBD, 146
CC, NN, EX, 6
VBZ, VBD, JJR, 1
CD, JJ, IN, 19
RB, DT, JJ, 522
RB, VBP, RBR, 1
PDT, CD, NN, 1
DT, NNS, RP, 2
NNP, VBD, JJ, 2
JJ, NN, TO, 685
NNS, VBP, RB, 460
-NONE-, NN, WRB, 1
WP, VB, RP, 1
RBR, IN, NNP, 2
PRP, RB, RBR, 6
VB, VBD, VBN, 12
IN, TO, WRB, 9
VB, DT, MD, 6
RB, JJ, EX, 5
VBP, VBD, JJ, 10
IN, JJ, EX, 3
PRP$, CC, EX, 1
PRP$, VBZ, DT, 1
CD, JJ, VBN, 1
JJ, VBP, PRP, 11
JJS, PRP, VBP, 5
CD, NNS, VBZ, 10
NNP, NNS, VBD, 13
JJS, EX, PRP, 1
VBN, VBD, PRP, 1
CC, VBZ, VBG, 8
VB, JJ, WDT, 2
JJS, WRB, DT, 2
VBZ, WP, MD, 1
EX, DT, NNS, 1
CD, RB, IN, 5
JJS, VBN, PRP, 2
VBP, IN, CC, 10
VBZ, RBR, NN, 2
NNS, VBZ, WRB, 1
PRP, IN, CC, 26
IN, EX, CC, 2
DT, RP, IN, 1
RP, CC, JJ, 6
NN, CC, WDT, 5
NNS, JJR, NNS, 9
VBN, PRP, VB, 2
VBN, RB, RB, 119
RB, JJS, NN, 3
IN, JJ, VBG, 19
JJ, PRP, CC, 2
NN, RB, CD, 15
EX, TO, VB, 3
NNP, RBS, JJ, 1
JJ, WRB, PRP, 35
TO, VB, WP, 62
VBG, IN, JJ, 183
DT, VBZ, RP, 3
NNS, WRB, RB, 2
RB, VBN, VBZ, 11
VBZ, RBR, JJ, 22
VB, NN, PRP, 34
DT, WP, -NONE-, 3
VBN, JJ, WP, 1
TO, RBS, IN, 1
VB, PRP$, VBG, 1
WP, NNS, IN, 25
IN, PRP, DT, 120
WDT, VBN, MD, 1
VBD, PRP, VBD, 327
VB, DT, VBG, 17
IN, VBN, DT, 27
JJS, VBN, JJ, 3
WP, CC, NN, 1
NN, VB, NN, 9
CD, IN, NNS, 6
RB, NN, WP, 2
NNS, VBG, RP, 13
NNS, VB, IN, 11
RB, RB, NNP, 4
PRP, VB, VBG, 9
NN, VBZ, EX, 6
VBN, DT, CC, 5
VBD, CC, VBD, 51
TO, NNS, NNS, 5
RBR, VB, WP, 1
TO, VB, VB, 2
WDT, VBD, JJS, 1
VBD, RB, VB, 247
RB, RBR, VBN, 11
VBP, VBG, VBN, 22
IN, NNS, VBD, 128
VBD, DT, CC, 8
VBN, NNS, DT, 27
VBP, PRP$, JJ, 37
PRP$, NN, IN, 1176
VBD, NN, IN, 306
CD, VBN, NNS, 25
IN, VBN, NNP, 2
TO, WP, NNS, 3
NNS, VBD, VBG, 127
TO, VBD, DT, 2
NN, VBP, VBD, 1
VBD, VB, RB, 1
VBG, NN, VBD, 42
DT, JJ, VBP, 18
DT, EX, MD, 2
WRB, RB, IN, 7
VBD, IN, TO, 80
RB, TO, PRP, 23
VBD, TO, RB, 5
NNP, RB, RB, 2
RB, WDT, JJ, 1
VBG, VBZ, VBN, 12
RB, JJ, MD, 12
NN, WP, DT, 13
IN, JJ, MD, 8
VBP, RB, VBG, 55
VBP, VBP, NN, 6
VB, IN, DT, 1007
VBZ, WRB, VBP, 2
JJR, RB, VBZ, 4
VBD, WRB, TO, 10
VBG, TO, WP, 3
PRP, NN, NN, 15
NN, VB, NNS, 4
RB, NN, EX, 2
-NONE-, VBN, RB, 1
-NONE-, VBG, IN, 9
RB, JJR, PRP, 3
CC, NNP, VBG, 1
VBG, NN, WP, 3
JJ, RB, WDT, 2
WP, VBN, WRB, 2
DT, VBD, NNS, 22
DT, NN, EX, 16
JJ, EX, NN, 1
NNS, WRB, IN, 5
VBN, WRB, IN, 2
NNP, NN, RB, 32
EX, VBD, RB, 58
NN, IN, NN, 6397
JJS, VBN, RB, 1
VBZ, JJR, PRP, 3
PRP, VBG, JJ, 5
RBR, RB, TO, 4
MD, VB, VBZ, 10
IN, CD, CD, 10
CC, NNS, IN, 363
VBP, VBG, IN, 68
VB, VBN, DT, 168
MD, IN, NN, 20
TO, NN, TO, 17
WP, DT, NN, 80
TO, NNP, JJ, 3
VBZ, PRP, RB, 45
NNS, VBP, RP, 32
EX, VBP, VB, 1
NNS, NNP, VBD, 1
PRP, VB, VBN, 42
DT, NNS, VBP, 704
NN, VBZ, VBG, 150
IN, IN, RBR, 1
VBP, PRP, WDT, 1
PRP, VB, DT, 90
NN, IN, JJ, 2465
NNS, RP, JJ, 1
MD, VB, NNP, 7
VBZ, VBN, VBD, 1
VBN, CC, WP, 8
JJ, RBR, RB, 2
VBP, CD, NN, 4
WRB, VBD, PRP$, 2
JJ, PRP$, JJ, 16
TO, NN, WDT, 3
VBD, RP, EX, 1
PRP, VBZ, VBZ, 15
VBP, DT, WDT, 1
WDT, VBD, VBD, 3
NN, NN, TO, 465
WP, NNS, NNP, 1
-NONE-, NN, TO, 3
JJ, DT, VBN, 5
IN, NNP, CC, 3
WRB, JJ, PRP$, 5
RB, VB, JJ, 164
WP, RB, IN, 10
PRP$, JJ, PRP, 4
VB, PRP, JJR, 14
VBN, MD, IN, 1
CD, JJR, NN, 10
NNS, JJ, JJ, 18
VBN, JJ, JJ, 27
CC, DT, VBP, 9
IN, TO, VBG, 2
NNS, PRP, PRP, 3
WP, MD, CD, 2
VBG, IN, VBZ, 5
VBZ, JJR, VBG, 5
VBZ, VBG, TO, 47
VBD, DT, DT, 23
VB, NNS, VB, 11
CD, VBP, VBN, 1
VBP, WRB, TO, 2
VBZ, VBN, MD, 6
CC, NNS, PRP$, 9
VBD, EX, VBD, 8
NNS, JJR, VBZ, 1
DT, RBS, IN, 1
PRP, RB, NNP, 2
RB, IN, DT, 1709
VBP, JJ, VB, 1
WDT, RB, RB, 9
CD, RB, VBD, 1
PRP, NNS, JJ, 1
CC, JJ, RBR, 3
VBD, RBR, VB, 1
VBG, RB, DT, 24
VBZ, VBG, DT, 33
JJ, WRB, DT, 20
NNP, JJ, NNS, 12
PRP$, IN, VBD, 1
VBG, NNP, NNS, 1
VBN, -NONE-, IN, 1
VBN, NNS, VBD, 33
VB, RBS, IN, 2
JJ, VBN, NNP, 1
IN, EX, VBD, 83
WDT, EX, MD, 3
VBP, VBP, VBZ, 1
PRP, IN, PRP$, 140
CC, DT, JJR, 12
NNS, VBP, JJS, 3
TO, IN, PRP$, 3
NNS, CD, VBD, 3
VBZ, CD, VBN, 1
IN, VBG, NNS, 155
DT, JJ, JJ, 799
RBR, VBZ, TO, 1
WP, MD, DT, 9
NNS, JJR, JJ, 2
CC, VBN, VBZ, 1
CD, RBR, VBN, 1
VBD, WP, NN, 5
PRP, JJ, JJ, 4
PRP, VBZ, JJR, 14
VBZ, RP, RB, 6
IN, VBP, DT, 7
EX, NN, PRP, 1
EX, NNS, RB, 1
VBN, DT, PRP, 6
PRP, VBD, TO, 707
EX, VBZ, WP, 1
JJ, NNS, RBR, 13
NN, VBZ, VBN, 971
WRB, JJS, TO, 1
VBZ, PRP, IN, 37
NNS, WDT, PRP$, 4
NNS, RB, PRP, 53
NN, RP, NN, 2
RBR, CC, VBD, 1
WP, IN, CD, 3
PRP, VBP, CC, 58
VBD, RBR, VBP, 1
VB, RB, VBD, 6
VBZ, NN, VBD, 17
WRB, VBD, DT, 14
JJS, NN, NN, 35
VBD, RP, JJ, 24
CD, VBZ, TO, 8
NNS, WRB, NNP, 1
JJ, NN, VBG, 233
IN, NN, IN, 2462
JJ, DT, VBG, 5
NNS, VBN, VBD, 3
VBD, VB, RP, 1
EX, JJ, NN, 9
RB, VBN, PRP$, 60
NNS, EX, RB, 1
CD, NNS, VBG, 22
CC, NNS, WP$, 1
NNS, VBG, NN, 78
RBR, VBG, PRP, 1
CC, JJ, CC, 77
RB, RBR, JJ, 76
IN, JJS, VBD, 4
IN, NN, NN, 2048
NN, PRP$, JJS, 2
JJ, PRP$, TO, 1
WRB, VBN, PRP, 3
IN, EX, IN, 6
VBZ, JJ, TO, 180
CC, NNP, RB, 5
VBP, RP, RP, 1
VBP, NN, RBR, 4
PRP$, TO, NNS, 1
VBZ, VBD, DT, 1
WRB, VBZ, CD, 2
